"predictor","group","n_eff","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"built_density","causal",76.6729927387354,0.638620441538791,0.693890188257112,4.51403359136293e-10,2.93054469580056e-12,0.483463393853593,0.754872653053055,0.556033662682992,0.794591441824029,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"green_density","causal",323.379496501145,0.503135663876493,0.584454862002962,0,0,0.416950744769823,0.58035392897384,0.507756159685811,0.651961419230137,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_water","causal",60.7495318466257,0.710121372037768,0.66267403514021,1.604436583591e-10,6.43148556633832e-09,0.557718362224442,0.81620510390743,0.492725252274236,0.783927654083681,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_roads","causal",405.4200394203,0.550246572473613,0.583721962277923,0,0,0.478495967903507,0.614698056039464,0.51564323581438,0.644476436674713,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"DEM","causal",83.1303711891032,0.720333529623482,0.615936480169607,1.55431223447522e-14,5.55016255177065e-10,0.597587136638638,0.810089790093342,0.461707073159785,0.73401769511213,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDBI","associative",81.195378712458,0.683970481942329,0.671572920115888,1.83231207984136e-12,6.38533670382913e-12,0.547561689661705,0.784966989244424,0.531302323170836,0.776004420800535,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","associative",139.42303012463,0.644877696732347,0.677806483749993,0,0,0.53610590216642,0.732585122484174,0.576523950208837,0.758574887231976,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDVI","associative",501.803429831286,0.568735453115762,0.502804983949557,0,0,0.506413486542585,0.62514653599618,0.434390604069416,0.565451141280905,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
