"variable","E","k","rho","mae","rmse"
"built_density",10,16,0.894788326121368,0.126279272113367,0.177694108898782
"built_density",10,17,0.893341618836499,0.127668693010902,0.178923265504743
"built_density",11,4,0.921994340759278,0.0993644299936309,0.153192234728829
"built_density",11,5,0.920728282854797,0.101940734699751,0.154495954189657
"built_density",11,6,0.918591033198888,0.104149331551714,0.156548973488229
"built_density",11,7,0.91535008014489,0.106757251345814,0.15953822723588
"built_density",11,8,0.914062225171657,0.1088833051729,0.160784048393292
"built_density",11,9,0.912235344797587,0.11105050821083,0.162506591795726
"built_density",11,10,0.909628190367783,0.113269456633751,0.164842377573882
"built_density",11,11,0.907511804082027,0.115430238541314,0.16678219166107
"built_density",11,12,0.905577327557961,0.117291780173825,0.168544487945382
"built_density",11,13,0.903344887993367,0.119217505988741,0.170472145183809
"built_density",11,14,0.901191313304658,0.120874475723938,0.17229012788119
"built_density",11,15,0.89983194198139,0.122427086065191,0.173492609938343
"built_density",11,16,0.897834561465602,0.124116548993632,0.175162649999713
"built_density",11,17,0.89626715038682,0.125427262054891,0.176453072116223
"built_density",12,4,0.928170649087573,0.0954138975042017,0.147282670605404
"built_density",12,5,0.928012712446104,0.0975120987922137,0.147572108478758
"built_density",12,6,0.925335273832368,0.0998606065287025,0.150254370028495
"built_density",12,7,0.922278248136496,0.102860800579516,0.153236985398361
"built_density",12,8,0.921268793812176,0.104322551380025,0.154282837323728
"built_density",12,9,0.91918346982982,0.106585116518863,0.1563443365027
"built_density",12,10,0.916067210163582,0.109287074425305,0.159240551943955
"built_density",12,11,0.913541306350946,0.111542796184158,0.161606394801654
"built_density",12,12,0.911639009096185,0.113430443592301,0.1633971650085
"built_density",12,13,0.908425604333589,0.116131539367228,0.166243011797024
"built_density",12,14,0.90696133207665,0.117390151933944,0.167537343548017
"built_density",12,15,0.905190930485537,0.118927164949044,0.169089030708777
"built_density",12,16,0.903294763621775,0.120615644855339,0.170722575249764
"built_density",12,17,0.902065718369282,0.121824787869977,0.171801471317276
"built_density",13,4,0.92850574215341,0.095519505348272,0.146933712529087
