"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_eff","is_pred_to_lst"
"built_density",10,"built_density->LST",0.0328336241741231,-0.19304762629429,0.25540983863152,0.777287976931305,76.6729927387354,TRUE
"built_density",20,"built_density->LST",0.0814973298906109,-0.145625087040715,0.300459621441862,0.482015567238849,76.6729927387354,TRUE
"built_density",30,"built_density->LST",0.13213506964471,-0.0951453623484829,0.346322087598732,0.253026082271003,76.6729927387354,TRUE
"built_density",40,"built_density->LST",0.182850211848711,-0.0433891070341504,0.391250909197646,0.112237864831093,76.6729927387354,TRUE
"built_density",50,"built_density->LST",0.224898502572131,0.000463362727213789,0.42776337238665,0.0497452967016643,76.6729927387354,TRUE
"built_density",60,"built_density->LST",0.260221836735783,0.0379817846414992,0.457932956190758,0.0225723153391852,76.6729927387354,TRUE
"built_density",70,"built_density->LST",0.298766922903638,0.0796497682744091,0.490342688138461,0.0084493338676157,76.6729927387354,TRUE
"built_density",80,"built_density->LST",0.341226159057689,0.126452789546534,0.525440604086813,0.00244303039825988,76.6729927387354,TRUE
"built_density",90,"built_density->LST",0.389754013853785,0.181142482125644,0.564801654897023,0.000472134783422895,76.6729927387354,TRUE
"built_density",100,"built_density->LST",0.443131728562436,0.242825791695972,0.607195720949422,5.6473310642513e-05,76.6729927387354,TRUE
"built_density",110,"built_density->LST",0.503892996411007,0.315069835084954,0.654343285059731,3.1387396632887e-06,76.6729927387354,TRUE
"built_density",120,"built_density->LST",0.572566842186341,0.399443840152797,0.706258754736781,5.672111402788e-08,76.6729927387354,TRUE
"built_density",10,"LST->built_density",0.0373510444802655,-0.188689412952942,0.259632875196153,0.747606305459536,76.6729927387354,FALSE
"built_density",20,"LST->built_density",0.0791428921692349,-0.147943755254995,0.298302292146615,0.494803923119833,76.6729927387354,FALSE
"built_density",30,"LST->built_density",0.121982348073734,-0.10536096342553,0.33720812733682,0.291647709368401,76.6729927387354,FALSE
"built_density",40,"LST->built_density",0.1720797745734,-0.054483155535021,0.381791687745131,0.135385960722043,76.6729927387354,FALSE
"built_density",50,"LST->built_density",0.22235558520064,-0.00221341610418303,0.42557388979519,0.0524544148565016,76.6729927387354,FALSE
"built_density",60,"LST->built_density",0.275409667421309,0.0543083746238938,0.47076634113226,0.0155658828507501,76.6729927387354,FALSE
"built_density",70,"LST->built_density",0.33024427695425,0.114255031420969,0.516422405358133,0.00342457400906415,76.6729927387354,FALSE
"built_density",80,"LST->built_density",0.39854058035102,0.19118463012874,0.571844302478496,0.000340920844113857,76.6729927387354,FALSE
"built_density",90,"LST->built_density",0.476029930013848,0.281667258292754,0.632867242172817,1.26471704318121e-05,76.6729927387354,FALSE
"built_density",100,"LST->built_density",0.551035509934205,0.372670601396636,0.690134959682405,2.20053411048582e-07,76.6729927387354,FALSE
"built_density",110,"LST->built_density",0.621570422479644,0.461498707205949,0.742445363835173,1.75202163887889e-09,76.6729927387354,FALSE
"built_density",120,"LST->built_density",0.674629200752336,0.530502723665992,0.780846978794559,1.91673343863386e-11,76.6729927387354,FALSE
"green_density",10,"green_density->LST",0.0176786911135322,-0.0915627000725955,0.126499631141842,0.751467243282725,323.379496501145,TRUE
"green_density",20,"green_density->LST",0.0404395488622526,-0.0689293131326719,0.148847897238842,0.468639154655655,323.379496501145,TRUE
"green_density",30,"green_density->LST",0.0633135249987896,-0.0460694443805269,0.17119621418973,0.25625711661282,323.379496501145,TRUE
"green_density",40,"green_density->LST",0.0930971392194449,-0.0161315009662972,0.200129941761361,0.0946640718572009,323.379496501145,TRUE
"green_density",50,"green_density->LST",0.128960139804968,0.0201791124121822,0.234723595204128,0.0203531540574509,323.379496501145,TRUE
"green_density",60,"green_density->LST",0.169698783581218,0.0617773219018386,0.273697981275726,0.0021980928457539,323.379496501145,TRUE
"green_density",70,"green_density->LST",0.217913053170248,0.111498143987046,0.319387136636963,7.77969553285018e-05,323.379496501145,TRUE
"green_density",80,"green_density->LST",0.26979633068378,0.165604443399774,0.368031735088691,8.45710307562086e-07,323.379496501145,TRUE
"green_density",90,"green_density->LST",0.32544477961136,0.224342890454619,0.419615546850756,2.05145145315555e-09,323.379496501145,TRUE
"green_density",100,"green_density->LST",0.386247118256665,0.289372366639311,0.475289910606212,6.0107474553206e-13,323.379496501145,TRUE
"green_density",110,"green_density->LST",0.443832758603544,0.351797201105947,0.527369468049571,0,323.379496501145,TRUE
"green_density",120,"green_density->LST",0.503766967788511,0.417649128502452,0.580914475482679,0,323.379496501145,TRUE
"green_density",10,"LST->green_density",0.00997573204634683,-0.0991970414726581,0.118911203426505,0.858172533115481,323.379496501145,FALSE
"green_density",20,"LST->green_density",0.0234289022312181,-0.0858553282525337,0.132156054847317,0.674673666491992,323.379496501145,FALSE
"green_density",30,"LST->green_density",0.0429706842228553,-0.0664053775990584,0.151326326578008,0.441243648759807,323.379496501145,FALSE
"green_density",40,"LST->green_density",0.0725213069473995,-0.0368348864874781,0.180161164637985,0.193328182468211,323.379496501145,FALSE
"green_density",50,"LST->green_density",0.110207334245141,0.0011563867498701,0.216667888223046,0.0476818517497226,323.379496501145,FALSE
"green_density",60,"LST->green_density",0.159175419956207,0.0509958841160725,0.263662961165744,0.0041093113956232,323.379496501145,FALSE
"green_density",70,"LST->green_density",0.216318646157691,0.109845354272213,0.317883738368083,8.800988409563e-05,323.379496501145,FALSE
"green_density",80,"LST->green_density",0.276120474888612,0.172242723982397,0.373924569486842,4.54499679225506e-07,323.379496501145,FALSE
"green_density",90,"LST->green_density",0.336506215346129,0.236106720874475,0.429797080158388,5.30159027789523e-10,323.379496501145,FALSE
"green_density",100,"LST->green_density",0.396917733062295,0.300877818185796,0.484987578428733,1.19904086659517e-13,323.379496501145,FALSE
"green_density",110,"LST->green_density",0.465713905396659,0.375733706527608,0.546995215719287,0,323.379496501145,FALSE
"green_density",120,"LST->green_density",0.535790340842023,0.453209176129345,0.609252948592767,0,323.379496501145,FALSE
"distance_to_water",10,"distance_to_water->LST",0.14862091551572,-0.10776338405806,0.386469781787391,0.254009285777375,60.7495318466257,TRUE
"distance_to_water",20,"distance_to_water->LST",0.201481712694723,-0.0535855107872733,0.431867319862715,0.120244830384277,60.7495318466257,TRUE
"distance_to_water",30,"distance_to_water->LST",0.247388702637428,-0.00528396227412323,0.470367959665034,0.0551020155107076,60.7495318466257,TRUE
"distance_to_water",40,"distance_to_water->LST",0.29479848646956,0.045867800577101,0.509257485451417,0.0213696787940312,60.7495318466257,TRUE
"distance_to_water",50,"distance_to_water->LST",0.340990665201342,0.0969938458308014,0.546324164982809,0.00728603588412158,60.7495318466257,TRUE
"distance_to_water",60,"distance_to_water->LST",0.382424376485059,0.143975501785245,0.578901960818938,0.0024049889446307,60.7495318466257,TRUE
"distance_to_water",70,"distance_to_water->LST",0.413565114279434,0.180007974780237,0.602980739615024,0.000947095430895883,60.7495318466257,TRUE
"distance_to_water",80,"distance_to_water->LST",0.438201192706789,0.208965105757594,0.621788537029089,0.000424256051394956,60.7495318466257,TRUE
"distance_to_water",90,"distance_to_water->LST",0.46209623270946,0.237440581393292,0.639830535750195,0.000183325428736225,60.7495318466257,TRUE
"distance_to_water",100,"distance_to_water->LST",0.489154727678202,0.270158899562328,0.660027278831245,6.55976838035421e-05,60.7495318466257,TRUE
"distance_to_water",110,"distance_to_water->LST",0.530318261229135,0.320921861391997,0.690285659863195,1.15233159645456e-05,60.7495318466257,TRUE
"distance_to_water",120,"distance_to_water->LST",0.58264638628746,0.387237856335764,0.727959729796868,8.84033738879353e-07,60.7495318466257,TRUE
"distance_to_water",10,"LST->distance_to_water",0.0360118009059315,-0.218314900471713,0.285757832645492,0.783361259745401,60.7495318466257,FALSE
"distance_to_water",20,"LST->distance_to_water",0.0684137654594427,-0.187160118968919,0.315313092343251,0.601136873540191,60.7495318466257,FALSE
"distance_to_water",30,"LST->distance_to_water",0.114230288517468,-0.142211798043835,0.356302602109926,0.381733983793014,60.7495318466257,FALSE
"distance_to_water",40,"LST->distance_to_water",0.169945720591814,-0.0860889731097744,0.404923548665598,0.191348059054197,60.7495318466257,FALSE
"distance_to_water",50,"LST->distance_to_water",0.226462020799429,-0.0274494090897912,0.452922110348944,0.079902432817311,60.7495318466257,FALSE
"distance_to_water",60,"LST->distance_to_water",0.29187053741961,0.0426704746172895,0.506880842830084,0.0227578617120034,60.7495318466257,FALSE
"distance_to_water",70,"LST->distance_to_water",0.36494255677385,0.124020916619903,0.565232724392012,0.00390683649652512,60.7495318466257,FALSE
"distance_to_water",80,"LST->distance_to_water",0.44087690032848,0.212134508438194,0.623818570297138,0.000387381214729476,60.7495318466257,FALSE
"distance_to_water",90,"LST->distance_to_water",0.510452044972952,0.296271668571238,0.675751979740985,2.74332675522793e-05,60.7495318466257,FALSE
"distance_to_water",100,"LST->distance_to_water",0.570256371206743,0.371351011620639,0.719118025542125,1.69023932539147e-06,60.7495318466257,FALSE
"distance_to_water",110,"LST->distance_to_water",0.618844786465942,0.434326921028328,0.753517519633724,1.13101148446759e-07,60.7495318466257,FALSE
"distance_to_water",120,"LST->distance_to_water",0.667202599064072,0.498847671918991,0.787036899909137,4.65402227867173e-09,60.7495318466257,FALSE
"distance_to_roads",10,"distance_to_roads->LST",0.016899577611854,-0.0806265091415686,0.114105154150699,0.734423398589662,405.4200394203,TRUE
"distance_to_roads",20,"distance_to_roads->LST",0.0362368497141479,-0.0613731331655826,0.133160279557631,0.466848199212892,405.4200394203,TRUE
"distance_to_roads",30,"distance_to_roads->LST",0.061665676866403,-0.035943577122148,0.158109481390737,0.215350350844705,405.4200394203,TRUE
"distance_to_roads",40,"distance_to_roads->LST",0.0916122291154363,-0.00583320019010551,0.187334137354914,0.0653585410880959,405.4200394203,TRUE
"distance_to_roads",50,"distance_to_roads->LST",0.124256578115878,0.0271922696535305,0.218999677728247,0.0122833568927012,405.4200394203,TRUE
"distance_to_roads",60,"distance_to_roads->LST",0.159621522748906,0.0632108202084028,0.253080496098981,0.0012607698055791,405.4200394203,TRUE
"distance_to_roads",70,"distance_to_roads->LST",0.209750210964997,0.114699950966636,0.300994787391623,2.06499017618711e-05,405.4200394203,TRUE
"distance_to_roads",80,"distance_to_roads->LST",0.265745059359944,0.172824692253943,0.353976879900688,5.56483228386639e-08,405.4200394203,TRUE
"distance_to_roads",90,"distance_to_roads->LST",0.328017764005108,0.238235224464394,0.412241370991962,1.26536559008628e-11,405.4200394203,TRUE
"distance_to_roads",100,"distance_to_roads->LST",0.402144113562235,0.317173191485935,0.480709927120644,0,405.4200394203,TRUE
"distance_to_roads",110,"distance_to_roads->LST",0.478169516128423,0.39937525723347,0.54995136341875,0,405.4200394203,TRUE
"distance_to_roads",120,"distance_to_roads->LST",0.546447934282565,0.474296824113267,0.611307290833027,0,405.4200394203,TRUE
