"predictor","group","n_eff","rho_pred_to_LST","rho_LST_to_pred","p_fwd","p_rev","ci_fwd_lower","ci_fwd_upper","ci_rev_lower","ci_rev_upper","kendall_fwd","kendall_fwd_p","kendall_rev","kendall_rev_p","direction"
"built_density","causal",76.6729927387354,0.572566842186341,0.674629200752336,5.672111402788e-08,1.91673343863386e-11,0.399443840152797,0.706258754736781,0.530502723665992,0.780846978794559,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"green_density","causal",323.379496501145,0.503766967788511,0.535790340842023,0,0,0.417649128502452,0.580914475482679,0.453209176129345,0.609252948592767,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_water","causal",60.7495318466257,0.58264638628746,0.667202599064072,8.84033738879353e-07,4.65402227867173e-09,0.387237856335764,0.727959729796868,0.498847671918991,0.787036899909137,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"distance_to_roads","causal",405.4200394203,0.546447934282565,0.577421583444117,0,0,0.474296824113267,0.611307290833027,0.508632168781461,0.638885912901328,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"DEM","causal",83.1303711891032,0.608923146640706,0.617640427339244,9.79861081162881e-10,4.82400119850013e-10,0.4528310196319,0.728798742919221,0.463868257153573,0.735283580183053,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDBI","associative",81.195378712458,0.673115033516039,0.671155985034988,5.4847237862532e-12,6.65223431894901e-12,0.533319188601007,0.777121562168089,0.530757304184231,0.77570227115583,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"BSI","associative",139.42303012463,0.640761367258107,0.654877624636942,0,0,0.531088189231325,0.729318136886369,0.548327690669961,0.7405049159447,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
"NDVI","associative",501.803429831286,0.561787556863339,0.520022005141216,0,0,0.498782345813272,0.618886662129156,0.45311457011954,0.581103517963336,1,4.17535139796144e-09,1,4.17535139796144e-09,"both significant"
